field	value
contract	adr:three-light-dragon-visual-evidence-contract
backend	Vulkan
adapter	NVIDIA GeForce RTX 4070 Laptop GPU
driver	NVIDIA
size	640x360
samples	256
sequence	hammersley-cp-v1-1024
dragon_field_sha256	9a8babdacdab6dbc3b8789b5008bbbaee4c58c7ffea42183ada83397d5cb3862
light_count	3
lights	red=(-2.7,1.35,-3.2);green=(2.6,1.75,-3.6);blue=(0.1,3.0,-5.6)
off_sha256	2e75b34ce31d21b13a08c6b6410e6124602eeef6eb311a4bd2605d3bc5fef1e6
radia_sha256	01c853dc78810f0ee2de18f56b985c5015b5580b13199e501e5a58adb3246066
control_signature	bfe1cdaa08bd27a1502ad5bf472133f1f953bd92a913476ccaf05fd763d0f3ba
receiver_roi	80,180,560,360
maximum_channel_delta	117
mean_channel_delta	4.651555
changed_pixels	63593
threshold	4
