field	value
contract	adr:three-light-dragon-visual-evidence-contract
backend	Vulkan
adapter	NVIDIA GeForce RTX 4070 Laptop GPU
driver	NVIDIA
size	640x360
samples	256
sequence	hammersley-cp-v1-1024
dragon_field_sha256	9a8babdacdab6dbc3b8789b5008bbbaee4c58c7ffea42183ada83397d5cb3862
light_count	3
lights	red=(-2.7,1.35,-3.2);green=(2.6,1.75,-3.6);blue=(0.1,3.0,-5.6)
off_sha256	0c73a5861b5f9ea0a5a2603a89b25719b2278e75b2bfcf12a34a2bb12c7fe3fe
radia_sha256	7e711469ff4a0c38b8b5bb3c608fde0e659044aae4e653213d3e38436731bf8b
radia_repeat_sha256	7e711469ff4a0c38b8b5bb3c608fde0e659044aae4e653213d3e38436731bf8b
fixed_state_hashes_match	true
control_signature	bfe1cdaa08bd27a1502ad5bf472133f1f953bd92a913476ccaf05fd763d0f3ba
receiver_roi	80,180,560,360
maximum_channel_delta	117
mean_channel_delta	4.651011
changed_pixels	63580
threshold	4
